aX,aY,aZ,gX,gY,gZ,ss
0.145,0.234,-0.678,-0.977,1.038,3.479,21.79
0.118,0.287,-0.977,-0.122,-1.282,3.418,21.79
0.029,0.129,-1.016,-2.258,-1.282,2.930,21.79
-0.009,0.045,-0.907,-3.418,0.366,3.052,21.79
0.076,0.046,-0.852,-3.357,-1.892,3.052,21.79
0.198,0.078,-1.157,-1.282,-2.502,3.296,21.79
0.129,0.081,-1.236,-0.671,-1.099,3.723,21.79
0.181,0.054,-1.242,-0.427,1.221,4.150,21.79
0.149,-0.006,-0.864,-3.052,2.258,3.906,22.36
0.068,-0.025,-0.927,-2.747,0.183,3.845,22.36
0.072,-0.080,-1.000,-2.686,-2.197,3.723,22.36
0.162,-0.183,-1.247,-1.709,-2.869,3.784,22.36
0.105,-0.144,-1.029,-0.732,-0.488,3.967,22.36
0.018,-0.098,-0.872,15.015,0.244,4.211,22.36
0.068,-0.083,-1.021,2.014,-1.038,4.639,22.36
0.083,-0.040,-1.226,2.502,-1.404,4.761,22.36
0.152,0.005,-1.163,1.587,-0.183,4.578,22.36
0.246,0.010,-0.959,1.282,0.793,4.456,22.36
0.244,0.026,-0.621,0.122,0.183,4.028,22.36
0.170,0.110,-0.734,1.038,-1.526,4.456,22.36
0.191,0.001,-1.026,1.343,-2.197,4.761,22.36
0.222,0.057,-0.836,0.793,-1.770,4.700,22.36
0.120,0.235,-1.002,2.075,-3.296,4.761,22.36
0.043,0.208,-1.234,2.136,-4.761,4.944,22.36
0.076,-0.031,-1.450,1.892,-2.686,4.578,22.36
0.010,-0.130,-1.197,-2.014,-0.061,4.028,22.36
-0.070,-0.000,-0.877,-1.160,-0.916,4.333,22.36
0.013,0.037,-1.200,1.587,-3.418,4.944,22.36
0.130,-0.046,-1.378,0.732,-2.136,4.761,22.36
0.172,-0.053,-0.757,-1.587,0.793,5.127,22.36
0.242,0.012,-0.682,0.916,-0.916,6.042,22.36
0.256,-0.031,-0.906,1.526,-3.662,5.981,22.36
0.217,-0.191,-1.046,0.122,-4.395,5.005,22.36
0.132,-0.218,-1.078,-0.854,-5.432,5.249,22.36
0.128,-0.187,-1.295,2.136,-6.042,5.737,22.36
0.025,-0.138,-1.419,2.136,-4.700,5.005,22.36
0.123,-0.127,-1.220,1.770,-3.357,5.005,22.36
0.273,-0.066,-1.196,3.113,-2.319,6.042,22.36
0.209,0.115,-1.064,3.723,-1.892,5.981,22.36
0.083,0.142,-1.052,2.563,-3.906,5.493,22.36
0.159,0.065,-1.449,2.014,-6.409,5.310,22.36
0.194,0.072,-0.959,-1.953,-4.028,4.639,22.36
0.073,0.122,-0.877,-1.038,-3.784,5.005,22.36
0.058,0.065,-1.056,1.770,-5.432,5.432,22.36
0.157,0.033,-1.078,0.793,-4.456,5.249,22.36
0.170,0.164,-0.834,1.221,-2.869,5.798,22.36
0.124,0.188,-0.912,2.014,-3.784,6.165,22.36
0.058,0.084,-1.016,0.916,-5.371,5.615,22.36
0.114,-0.035,-1.254,-0.488,-5.493,5.737,22.36
0.148,-0.126,-1.081,-1.953,-5.554,5.554,22.36
0.138,-0.153,-1.052,-1.160,-5.859,5.188,22.36
0.209,-0.172,-1.054,0.488,-5.005,5.676,22.36
0.305,-0.141,-0.936,2.075,-3.235,6.348,22.36
0.230,-0.004,-0.712,3.174,-2.258,6.653,22.36
0.085,0.143,-0.770,3.845,-4.333,6.348,22.36
0.115,-0.010,-1.310,3.601,-8.240,5.737,22.36
0.283,-0.249,-1.643,0.854,-7.446,4.517,22.36
0.370,-0.237,-1.252,0.977,-4.578,5.066,22.36
0.381,-0.118,-1.028,2.197,-2.625,5.493,22.36
0.294,-0.078,-0.975,3.723,-2.197,5.493,22.36
0.200,-0.051,-0.859,4.761,-1.221,5.859,22.36
0.121,0.005,-0.737,4.883,-2.380,5.859,22.36
0.143,0.034,-1.061,6.287,-5.859,5.737,22.36
0.137,0.036,-1.279,3.784,-7.507,5.066,22.36
0.248,-0.053,-1.423,2.197,-6.958,5.127,22.36
0.329,-0.113,-1.463,2.930,-3.601,5.310,22.36
0.351,-0.104,-1.156,3.601,1.160,5.615,22.36
0.070,0.012,-0.508,3.906,2.014,5.432,22.36
0.025,0.090,-0.729,5.981,-1.892,5.615,22.36
0.106,0.084,-0.968,5.676,-5.188,5.188,22.36
0.298,0.039,-1.404,5.798,-4.517,5.005,23.43
0.330,0.145,-0.752,2.136,-3.845,4.395,23.43
0.329,0.247,-1.032,5.188,-3.418,5.005,23.43
0.285,0.086,-1.138,3.784,-2.258,4.761,23.43
0.192,0.041,-1.005,2.747,-0.427,4.089,23.43
0.063,0.165,-0.893,2.686,-0.793,4.456,23.43
0.056,0.267,-1.337,4.456,-3.662,3.906,23.43
0.238,0.260,-1.224,1.831,-3.967,3.113,23.43
0.348,0.158,-1.083,-0.122,-1.709,3.601,23.43
0.400,0.095,-0.742,0.122,-0.305,4.150,23.43
0.314,0.078,-0.980,1.953,-0.671,4.333,23.43
0.158,0.098,-0.937,1.648,-0.549,4.089,23.43
-0.017,0.051,-1.064,0.916,-1.221,3.540,23.43
0.061,-0.000,-1.239,0.122,-2.197,3.784,23.43
0.258,-0.024,-1.339,0.427,-2.136,3.723,23.43
