aX,aY,aZ,gX,gY,gZ,S
0.670,0.218,0.083,-2.441,-12.390,-17.090,0.448
0.861,0.675,-0.855,-4.944,5.371,-18.127,0.448
0.791,1.408,-1.997,-23.987,32.410,-12.024,0.448
-1.344,-0.492,0.616,10.376,48.157,-21.179,0.707
-0.879,1.133,-0.918,-10.864,26.184,-1.038,0.707
0.429,-0.035,-1.552,-11.963,-1.038,-9.888,0.707
-1.059,-0.569,0.411,-16.357,-3.479,-12.939,0.707
0.779,0.862,-1.896,11.780,-6.287,-7.202,0.707
1.232,0.128,-1.576,-4.517,-2.991,-27.954,0.707
-1.433,-0.806,0.062,-11.780,1.465,-26.550,0.707
1.217,0.802,-4.000,15.625,-3.967,-8.667,0.707
0.244,0.468,-0.314,-0.122,1.038,-14.160,0.707
-0.738,0.850,-1.196,-1.648,19.226,-5.188,0.707
0.398,1.007,-0.782,15.564,-4.333,-6.653,0.707
-0.091,0.373,0.326,-29.114,-1.709,-15.015,0.707
1.174,-0.230,-1.821,-5.920,14.282,-10.071,0.707
-0.154,0.107,0.259,-14.893,22.827,-10.437,0.707
-1.249,-0.479,-0.365,-24.719,22.339,-9.644,0.707
0.026,-0.405,-2.319,14.526,-1.221,-2.014,0.707
0.655,0.611,-0.502,8.423,-1.343,-3.418,0.707
-1.490,-0.350,-0.609,-14.160,5.188,-10.437,0.707
-0.518,-0.371,-2.443,14.038,-26.184,4.333,0.707
0.347,0.489,-0.093,12.634,-29.724,11.292,0.707
0.924,-0.418,-1.885,-3.357,-1.709,2.075,0.707
-0.809,-0.175,-0.955,-5.005,-3.784,-5.798,0.707
0.914,-0.255,-1.964,8.606,9.338,-0.183,0.707
0.959,-0.195,-1.478,4.761,18.921,-3.601,0.707
-0.774,-0.000,-1.091,-10.681,29.541,-2.686,0.707
-1.586,0.021,-1.419,-6.714,-4.211,-6.348,0.707
-0.038,-0.448,0.444,8.179,-22.705,-2.319,0.707
0.829,0.068,-1.353,-7.874,2.319,0.732,0.707
-0.808,-0.193,-0.660,-10.071,-4.700,-10.742,0.707
0.562,-0.641,-1.017,8.240,-18.677,-10.498,0.707
0.396,-0.201,0.533,0.977,-2.136,-10.315,0.707
0.370,-0.268,-0.949,3.540,12.573,-12.390,0.707
-0.118,-0.220,-1.255,9.399,13.550,-11.719,0.707
-1.119,-0.117,-0.900,0.854,1.404,-13.367,0.707
0.799,-0.611,-1.285,16.968,-10.559,-12.085,0.707
0.002,0.744,-1.934,-4.517,9.399,-7.690,0.707
-0.381,-0.127,-1.079,-18.982,-7.935,-18.066,0.707
0.368,-0.924,-0.321,-2.747,-15.991,-13.245,0.707
0.933,-0.145,-0.266,14.954,7.812,1.709,0.707
-0.353,0.490,-0.892,-6.958,17.578,0.610,0.707
-0.612,-0.123,-1.564,1.770,-3.296,-2.930,0.707
0.026,-0.233,-0.214,-15.564,-18.311,-2.869,0.707
0.813,-0.432,-1.169,1.709,-1.709,7.812,0.707
-0.410,0.374,-1.555,-3.357,9.827,4.883,0.707
-0.426,-0.240,-1.010,-11.658,-1.343,6.470,0.707
0.099,-0.627,-0.682,-4.456,-18.433,1.038,0.707
0.396,-0.032,-0.918,7.935,-9.705,12.756,0.707
0.368,-0.022,-0.938,-3.845,7.019,8.911,0.707
-0.663,-0.409,-1.399,3.113,2.686,6.348,0.707
-0.279,-0.059,-0.333,2.991,-15.015,1.221,0.707
