aX,aY,aZ,gX,gY,gZ,S
0.211,-0.002,-0.965,2.380,-1.465,-4.883,1.704
0.058,0.021,-1.056,0.488,2.441,-5.371,1.704
0.061,0.026,-1.075,-0.305,1.282,-2.563,1.704
0.082,-0.160,-0.919,-2.625,1.526,-2.380,1.704
0.025,-0.099,-0.863,-2.380,-14.832,-0.977,1.704
0.222,-0.021,-0.919,1.099,-1.648,-0.549,1.704
0.078,-0.141,-1.057,-0.549,0.793,-1.099,1.704
0.093,-0.057,-1.013,1.648,0.427,0.854,1.704
-0.009,-0.043,-1.071,0.793,1.587,-0.549,1.704
-0.010,0.025,-0.991,1.282,-0.244,-0.488,1.704
0.069,0.067,-1.070,1.526,-0.488,-1.343,1.704
-0.035,0.020,-0.973,0.244,1.892,-2.563,1.704
-0.051,0.073,-0.943,0.061,1.404,-2.991,1.704
-0.104,0.034,-0.991,-0.488,0.671,-3.174,1.704
0.005,0.039,-0.976,-0.366,-0.916,-2.075,1.704
0.044,0.059,-1.006,0.244,-1.099,-1.221,1.704
0.047,0.048,-0.995,-0.061,0.000,-0.854,1.704
0.054,0.063,-1.007,-0.122,0.549,-0.366,1.704
0.031,0.046,-0.991,-0.793,0.732,-0.549,1.704
0.025,0.043,-0.977,0.244,0.305,-0.122,1.704
0.037,0.061,-0.956,0.061,0.366,-0.061,1.704
0.015,0.044,-0.986,-0.183,0.732,-0.305,1.704
0.002,0.059,-0.977,-0.183,0.916,-0.732,1.704
0.000,0.049,-0.983,-0.916,0.916,-0.427,1.704
0.001,0.008,-0.982,-1.099,0.732,-0.122,1.704
0.000,-0.013,-1.002,-1.404,0.610,-0.183,1.704
0.012,-0.023,-1.002,-0.977,0.366,0.244,1.472
0.037,-0.018,-0.996,-0.916,0.488,0.549,1.472
0.036,-0.031,-0.978,-0.366,0.854,0.488,1.472
0.016,-0.020,-0.979,0.000,1.038,0.427,1.472
0.006,-0.025,-0.996,-0.793,1.160,0.305,1.472
0.001,-0.035,-0.980,-1.038,0.122,0.610,1.472
0.016,-0.042,-0.998,-0.916,0.305,0.610,1.472
0.009,-0.052,-0.980,-0.916,0.488,0.732,1.472
-0.001,-0.060,-0.998,-1.038,0.732,0.977,1.472
0.028,-0.069,-0.991,-1.221,0.610,0.977,1.472
0.003,-0.074,-0.990,-0.732,0.732,0.854,1.472
0.000,-0.078,-0.994,-0.916,0.793,0.854,1.472
0.002,-0.090,-0.986,-1.038,0.610,0.854,1.472
0.012,-0.097,-0.983,-1.160,0.305,0.854,1.472
0.023,-0.103,-0.981,-1.038,0.549,1.038,1.472

0.010,-0.063,-0.987,-0.671,0.793,0.122,0.348
0.014,-0.065,-0.986,-0.671,0.732,-0.122,0.348
0.011,-0.066,-0.984,-0.732,0.549,-0.183,0.348
0.015,-0.067,-0.983,-0.610,0.610,-0.122,0.348
0.014,-0.065,-0.988,-0.366,0.366,-0.122,0.348
0.012,-0.067,-0.985,-0.610,0.366,-0.122,0.348
0.012,-0.069,-0.983,-0.732,0.488,-0.183,0.348
0.012,-0.066,-0.986,-0.671,0.610,-0.366,0.348
0.008,-0.068,-0.987,-0.427,0.366,-0.122,0.348
0.013,-0.069,-0.985,-0.854,0.427,0.000,0.348
0.014,-0.068,-0.984,-0.916,0.488,0.061,0.348
0.014,-0.068,-0.985,-0.854,0.122,0.122,0.348
0.015,-0.070,-0.985,-0.854,0.549,-0.122,0.348
0.018,-0.069,-0.986,-0.549,0.549,-0.366,0.348
0.013,-0.067,-0.981,-0.732,0.610,-0.122,0.348
0.013,-0.068,-0.986,-0.427,0.549,0.061,0.348
0.016,-0.069,-0.988,-0.488,0.366,-0.366,0.348
0.012,-0.067,-0.986,-0.854,0.427,-0.305,0.348
0.014,-0.067,-0.984,-0.671,0.122,-0.305,0.348
-0.044,-0.263,-0.735,-2.441,0.305,-1.099,0.348
-0.003,-0.080,-1.262,0.916,1.343,2.502,0.348
0.003,1.673,-1.991,-4.395,7.385,13.611,0.348
-0.106,2.668,-3.472,-14.893,-3.235,2.075,0.348
-2.240,0.321,0.611,-47.485,-30.823,-12.878,0.348
-0.238,-0.015,1.019,12.085,-50.598,-10.010,0.348
2.011,0.447,-2.764,28.564,-14.282,-16.724,0.348
0.749,0.152,0.257,11.536,11.475,-18.860,0.348
