aX,aY,aZ,gX,gY,gZ,S
0.092,-0.799,0.646,-65.125,10.620,16.846,0.031
-0.131,-0.439,2.375,-19.348,-8.667,27.405,0.031
1.193,1.139,-1.873,29.297,-29.846,12.390,0.031
0.326,-0.102,1.170,-28.809,22.827,27.039,0.031
0.155,0.847,-3.790,24.170,39.124,32.288,0.031
-0.150,-0.145,-0.580,-15.198,35.034,25.635,0.031
-1.891,0.243,0.475,-26.245,24.597,43.823,0.031
1.194,1.109,-4.000,82.397,-1.831,31.311,0.031
-0.582,-0.156,2.626,-68.420,7.446,24.841,0.031
1.668,-0.472,-4.000,63.477,-9.521,43.762,0.031
-0.471,-0.223,2.831,-34.424,21.301,49.072,0.031
0.994,0.947,-3.226,74.097,-10.986,51.880,0.031
-1.030,-0.133,-0.361,-45.532,26.917,44.434,0.031
1.777,1.974,-2.609,55.176,14.160,53.650,0.031
-1.665,0.441,0.192,-91.431,52.307,38.574,0.120
0.322,-0.427,1.120,7.446,23.804,56.335,0.120
-1.155,0.262,-2.365,-0.854,2.441,46.692,0.120
0.463,0.826,2.472,9.155,-15.442,52.246,0.120
0.132,0.335,-3.354,-39.368,-9.033,35.461,0.120
0.780,0.607,3.286,-30.640,4.272,53.284,0.120
0.818,-0.271,-3.890,-9.155,13.916,64.636,0.120
-0.090,0.358,2.971,-15.747,15.686,73.730,0.120
-0.298,0.812,-1.593,30.884,5.188,73.853,0.120
1.453,-0.102,-0.470,5.005,-3.845,69.153,0.120
-1.097,-0.224,0.818,-11.353,8.667,58.594,0.120
0.813,-2.139,0.783,11.169,14.832,69.275,0.120
-1.410,1.737,-4.000,94.727,-11.963,88.196,0.120
1.289,1.328,0.474,39.673,-44.373,74.097,0.120
1.213,-0.463,-3.603,-33.081,24.048,87.341,0.120
-1.337,1.807,-2.320,1.221,-28.381,50.415,0.120
2.798,-1.013,1.282,-54.504,-7.446,36.926,0.120
-1.091,-0.559,-0.928,-40.100,38.879,56.702,0.120
1.500,0.016,0.838,-16.418,15.076,65.613,0.120
0.079,-0.609,-1.587,-37.659,62.988,65.063,0.120
-1.006,0.000,0.906,-13.611,42.419,81.238,0.120
-1.436,1.210,-1.184,16.541,-9.521,89.844,0.120
-1.129,-0.326,-1.684,0.549,-35.034,45.227,0.120
3.246,0.804,-3.958,75.012,-53.406,75.806,0.120
-0.981,1.031,-0.304,-56.885,-2.441,73.853,0.120
3.048,-1.314,-3.875,4.761,16.663,76.538,0.120
-1.300,0.190,0.589,-41.992,15.381,54.932,0.120
0.874,-1.743,-4.000,21.790,21.606,59.021,0.120
1.078,0.783,3.291,6.714,49.927,72.571,0.120
-1.632,-0.733,-3.803,-12.390,42.847,71.777,0.120
-0.549,0.222,3.003,13.977,17.090,100.952,0.120
-1.548,0.013,-2.312,21.057,-16.479,88.501,0.120
0.922,0.554,-0.117,33.752,-51.697,73.303,0.120
2.581,2.340,-3.975,17.639,-29.663,50.110,0.120
-4.000,-3.992,-0.549,-217.041,-51.086,99.365,0.120
-2.492,-4.000,4.000,-409.241,-76.355,-25.024,0.120
4.000,-4.000,-1.366,-198.425,24.536,-288.086,0.120
-4.000,-4.000,-3.269,108.215,-25.879,-38.208,0.120
-1.803,-1.420,-0.239,313.843,-93.323,-22.888,0.120
4.000,-1.434,-3.872,257.690,-65.247,-152.527,0.120
0.821,0.523,-4.000,226.196,-31.311,-135.254,0.120
1.240,3.796,4.000,160.950,-90.271,-98.267,0.120
2.193,-2.346,-2.729,107.788,103.088,-117.676,0.120
1.305,-1.535,2.729,186.707,18.738,-95.886,0.120
0.693,1.332,0.072,155.640,113.220,-59.998,0.120
-4.000,3.678,-4.000,132.202,97.839,-67.566,0.120
-1.312,1.269,0.029,56.946,-15.747,-78.308,0.120
-3.056,2.468,-3.640,20.203,-65.369,-120.667,0.120
0.852,0.668,-0.234,55.664,-116.272,-140.869,0.120
0.365,4.000,-3.783,58.594,-36.987,-103.699,0.120
0.337,0.341,3.990,18.799,-49.438,-161.011,0.120
-1.463,-3.564,-1.507,131.348,-20.508,-130.554,0.120
0.275,1.458,-2.176,126.587,11.597,-51.880,0.120
0.424,2.052,1.872,45.471,33.325,-72.327,0.120
-1.187,-0.637,0.787,26.245,27.344,-103.760,0.120
-1.182,-0.001,0.829,7.263,9.338,-92.590,0.120
0.471,2.499,-0.144,-1.160,-8.362,-97.839,0.120
1.209,0.182,-2.234,-9.583,-1.404,-128.174,0.120
-0.940,0.830,1.379,-54.749,6.897,-90.393,0.120
3.424,1.557,-1.648,-10.559,24.719,-111.877,0.120
-2.310,2.611,-3.929,-4.028,33.508,-40.344,0.120
1.177,1.322,-2.134,-87.280,43.762,-79.529,0.120
-1.501,-0.296,2.707,-41.504,19.043,-62.988,1.866
3.595,2.411,-4.000,-60.303,34.119,-66.223,1.866
-1.966,-0.426,2.317,-81.970,15.503,-98.755,1.866
0.702,-0.687,-0.942,-37.292,16.602,-65.430,1.866
-0.633,0.194,0.495,-72.266,27.466,-71.411,1.866
-0.572,0.230,-0.705,-55.420,22.705,-67.322,1.866
0.071,0.991,-1.268,-65.979,16.357,-71.655,1.866
-1.151,1.275,-0.464,-95.581,9.338,-84.534,1.866
1.460,2.191,-2.095,-101.440,-2.686,-71.594,1.866
-1.254,1.302,-1.024,-153.687,16.113,-83.374,1.866
0.238,0.029,0.988,-168.396,-0.793,-95.276,1.866
-0.132,0.325,-2.284,-114.075,-28.503,-89.722,1.866
-0.441,-1.812,-0.518,-164.246,5.005,-85.449,1.866
-0.584,-0.198,-1.447,-71.838,-45.105,-90.210,1.866
0.343,0.603,-0.705,-41.504,-26.306,-77.148,1.866
0.486,-1.063,-2.912,-26.611,5.615,-70.557,1.866
-0.824,-0.967,-2.832,-18.433,18.250,-65.796,1.866
-0.617,-0.654,-1.679,15.625,2.869,-58.655,1.866
-0.284,-0.317,-1.886,22.339,14.771,-43.701,1.866
0.447,-0.834,-1.887,38.330,12.268,-26.978,1.866
