aX,aY,aZ,gX,gY,gZ,S
-1.242,1.452,-0.640,-80.078,-15.686,-28.320,0.108
0.625,0.149,0.284,-85.632,-33.936,-41.687,0.108
-1.554,-0.091,0.224,-96.924,-24.658,-41.931,0.108
0.291,-0.191,-3.354,-70.251,-29.968,-36.377,0.108
1.135,-0.396,-1.607,-61.401,-26.489,-19.958,0.108
0.165,-0.875,-2.856,-76.599,4.333,-21.973,0.108
0.429,-1.091,-3.300,-33.875,18.494,-1.770,0.108
-0.499,-0.853,-1.721,-11.536,27.100,-9.583,0.108
-1.000,-0.897,-2.266,4.028,22.827,-0.061,0.108
-0.130,-0.551,-1.517,46.997,-0.488,2.747,0.108
0.186,-0.507,-0.608,48.706,8.301,4.333,0.108
-0.386,-0.177,-1.043,71.838,4.761,-0.610,0.108
-0.073,0.523,-0.663,73.608,-4.700,1.770,0.108
0.266,0.067,-0.611,47.546,-4.944,-1.587,0.108
-0.081,0.417,-0.059,33.386,-4.456,-4.761,0.108
-0.130,0.466,0.125,31.189,-9.521,-6.165,0.108
0.370,0.499,-1.215,15.076,-12.756,-0.061,0.108
0.174,0.612,-0.446,-0.305,-9.338,-4.211,0.108
0.146,0.499,-0.443,-11.047,-8.789,-6.714,0.108
0.400,0.232,-0.792,-24.963,4.211,-11.230,0.108
-0.389,0.537,-0.418,-38.208,3.662,-8.728,0.108
0.291,-0.351,-1.089,-41.382,5.554,-10.803,0.108
-0.101,-0.589,-1.637,-45.532,11.536,-12.329,0.108
0.099,-0.355,-1.217,-36.377,8.118,-13.611,0.108
0.412,-0.990,-1.580,-17.639,-0.122,-5.188,0.108
0.377,-0.522,-1.294,6.287,5.859,-3.418,0.108
0.186,-0.014,-1.335,12.939,9.949,-3.601,0.108
0.256,0.259,-1.336,12.817,15.137,-6.409,0.108
-0.169,0.187,-0.470,6.958,13.855,-7.080,0.108
-0.164,0.171,-0.870,7.324,10.498,-3.784,0.108
-0.228,0.223,-0.649,6.470,3.845,-0.305,0.108
-0.198,0.303,-0.541,2.563,-2.136,0.427,0.108
0.039,0.121,-0.967,2.075,-6.287,2.380,0.108

0.709,1.048,-0.094,-20.569,13.123,-4.150,0.174
-0.843,0.175,-0.442,-8.362,16.235,-14.343,0.174
-0.459,-0.380,0.223,11.597,5.676,-12.329,0.174
-0.174,-0.034,-0.312,2.258,0.793,-7.263,0.174
0.556,0.610,-0.706,-4.517,-5.676,0.305,0.174
0.169,0.814,-1.519,-29.846,10.620,-6.104,0.174
-0.259,-1.141,-1.012,-11.658,-0.671,-20.813,0.174
0.430,0.049,-0.295,6.165,-8.362,-14.465,0.174
0.081,1.752,-2.265,7.690,21.118,14.465,0.174
0.052,0.134,-1.728,-1.038,10.376,4.517,0.174
0.035,0.931,-0.144,-21.851,7.385,-14.160,0.174
-0.198,0.546,-1.762,-2.991,5.371,-7.935,0.174
-0.538,-0.531,0.511,-13.794,-4.517,-8.240,0.174
-0.117,0.659,-1.972,-6.042,-13.428,2.869,0.174
0.095,-0.159,-1.687,2.991,-4.822,7.751,0.174
0.628,-0.115,-0.266,31.738,2.441,4.456,0.174
-0.109,1.531,-1.941,-29.602,23.682,9.033,0.174
0.389,-0.962,-0.444,17.273,-3.113,-3.479,0.174
-0.785,1.529,-0.567,-21.729,13.855,11.780,0.174
-0.480,-0.820,0.914,31.738,-12.085,8.911,0.174
0.455,1.222,-1.754,-14.526,14.160,23.010,0.174
-0.236,-0.697,-0.413,16.785,-9.277,4.272,0.174
0.543,1.577,-2.822,-25.574,0.793,18.311,0.174
-0.213,-1.129,1.173,7.202,-11.230,-9.827,0.174
0.642,1.917,-3.899,-18.433,-1.465,12.207,0.174
0.237,-0.344,0.415,18.127,-17.456,6.287,0.174
0.853,1.195,-2.891,-23.254,7.141,15.015,0.174
0.188,-0.889,2.120,16.785,-0.610,-3.662,0.174
0.716,1.796,-3.976,29.846,48.828,17.822,0.174
-1.165,-0.764,1.973,-10.559,31.067,-3.601,0.035
-1.685,1.272,-2.865,8.728,22.156,16.174,0.035
-1.115,-0.821,0.357,-7.874,-7.629,-1.282,0.035
-1.054,2.206,-1.580,-9.521,-41.626,8.667,0.035
