aX,aY,aZ,gX,gY,gZ,S
-0.197,0.443,-1.210,-1.038,1.099,10.193,2.272
-0.049,0.070,-1.538,-7.935,-3.906,8.423,2.272
0.281,0.082,-0.995,-4.333,-3.235,9.155,2.272
0.171,0.154,-1.164,-5.981,3.723,5.554,2.272
0.192,-0.061,-0.903,-3.845,6.897,0.854,2.272
0.011,-0.135,-0.749,-5.554,9.094,1.282,2.272
-0.194,-0.066,-0.871,-2.747,5.981,3.235,2.272
-0.428,0.057,-0.629,0.854,-2.136,5.493,2.272
-0.116,0.186,-0.933,0.793,-9.094,11.047,2.272
0.236,0.512,-1.089,-1.526,-9.583,12.329,2.272
0.076,-0.042,-1.064,-30.334,-1.282,6.470,2.272
0.124,-0.073,-1.435,-9.216,-2.075,4.639,2.272
0.051,0.061,-1.209,-6.897,3.052,1.953,2.272
-0.174,-0.227,-0.980,-8.972,6.042,1.343,2.272
-0.067,0.128,-0.771,6.104,-1.709,2.319,2.272
0.170,0.148,-0.978,6.775,-0.977,3.540,2.272
0.207,0.037,-0.695,8.240,1.953,2.380,2.272
-0.047,0.255,-1.018,7.324,4.272,2.258,2.272
-0.264,0.350,-1.050,-0.427,1.465,2.869,2.272
-0.062,0.086,-0.741,-3.906,-3.540,5.737,2.272

1.355,1.960,-4.000,65.674,-30.884,-1.343,0.471
0.557,1.899,0.947,21.301,-3.723,-12.024,0.471
1.183,0.551,0.150,-11.597,20.020,-26.733,0.471
-0.952,-0.096,-2.726,4.700,31.616,-20.630,0.471
-0.505,0.198,-0.397,-4.272,23.437,-16.418,0.471
-0.182,-0.624,-0.931,6.165,11.658,-17.578,0.471
-0.766,0.479,0.034,-10.437,7.263,-27.039,0.471
0.623,0.674,-1.191,4.395,-9.033,-26.245,0.471
1.268,0.796,-2.456,5.432,-10.742,-29.846,0.471
-1.002,0.405,-0.828,-34.546,3.784,-25.391,0.471
0.320,-0.176,-1.289,-1.648,-2.747,0.854,0.471
0.256,1.232,-2.079,16.907,-6.287,0.977,0.471
0.703,0.381,-1.056,-44.373,17.517,-11.475,0.471
-0.360,0.351,-0.329,-11.292,9.094,-18.738,0.471
0.051,0.181,-1.059,-10.498,-1.221,-19.287,0.471
0.375,0.454,0.893,-13.306,0.000,-18.738,0.104
-0.901,0.346,-2.525,-18.066,8.606,-13.611,0.104
0.383,0.013,0.700,13.794,-9.338,-9.338,0.104
0.695,1.454,-2.386,3.601,-12.756,-15.198,0.104
-0.702,1.453,-2.175,-12.024,6.287,-16.602,0.104
-0.115,-0.424,-0.141,-21.606,-3.296,-23.743,0.104
0.507,1.453,-0.350,10.437,-17.883,-18.066,0.104
0.919,0.298,-0.162,-5.371,-1.160,-22.095,0.104
-0.438,0.126,-0.698,-11.780,18.005,-22.461,0.104
0.167,-0.119,-1.295,22.949,9.216,-5.676,0.104
-0.349,1.429,-0.999,15.869,0.183,-11.169,0.104
-1.003,-0.245,-0.453,-6.470,-0.427,-16.541,0.104
0.103,2.040,-1.727,17.212,-26.489,-19.836,0.104
-0.327,1.271,-1.118,-19.043,-11.658,-22.217,0.104
0.269,-0.164,-1.294,-17.761,-20.691,-14.221,0.104
0.436,1.463,-0.686,13.062,-14.526,-8.179,0.104
0.917,0.735,-0.878,0.916,8.789,-11.353,0.104
-0.520,0.150,0.701,-5.798,29.297,-10.376,0.104
-0.196,0.078,-0.511,9.888,0.610,-1.526,0.104
0.515,0.656,-1.222,1.770,-0.671,-2.930,0.104
-0.981,-0.191,0.341,-16.113,-1.160,-12.878,0.104
0.054,0.563,-0.316,25.574,-19.897,-10.132,0.104
-0.012,0.607,-3.676,-3.357,-3.174,-12.939,0.104
0.463,-0.174,1.822,24.414,-7.690,-12.817,0.104
0.387,1.337,-4.000,16.052,8.423,-9.216,0.104
-1.157,-1.154,3.124,-37.354,24.048,-24.963,0.104
1.689,1.242,-4.000,71.960,-26.733,-5.005,0.104
-1.507,1.001,1.946,-62.439,21.545,-18.433,0.104
0.905,0.052,-3.989,49.500,-35.522,-16.663,0.104
-0.062,1.257,0.451,-38.818,17.029,-19.470,0.104
-1.208,-1.105,0.267,-4.395,-10.559,-10.376,0.104
1.575,1.131,-3.668,45.715,-27.405,-13.489,0.104
-0.547,-0.037,3.267,-41.565,15.869,-23.621,0.104
-0.244,0.658,-4.000,37.598,3.845,-11.719,0.104
-0.765,0.832,0.975,-13.733,12.573,-17.334,0.104
0.180,0.222,-2.717,13.428,1.221,-23.071,0.104
-0.643,0.724,0.087,-3.479,7.141,-23.865,0.104
0.278,0.787,-0.847,-1.221,-5.676,-15.015,0.104
0.613,0.242,-2.569,-12.451,8.667,-20.081,0.104
-0.007,-0.600,1.416,-31.982,17.700,-20.020,0.104
0.676,0.775,-3.025,24.414,8.545,-12.146,0.104
-2.240,-1.289,-0.761,-64.636,46.936,-18.555,0.104
0.950,1.120,-0.467,91.736,-33.997,-5.615,0.104
-0.339,0.400,-2.712,-81.909,33.203,-5.798,0.104
0.635,-0.531,-3.929,30.945,8.240,-9.460,0.104
-0.993,1.358,1.840,-21.667,4.456,-4.456,0.104
0.990,0.787,-4.000,12.756,1.648,-10.498,0.104
-1.061,1.314,2.670,-23.071,0.549,-4.517,0.104
1.077,2.316,-3.144,42.480,-7.141,14.954,0.104
-1.789,-0.941,-0.630,-75.623,38.330,-14.526,0.104
0.547,1.531,2.999,22.705,-60.730,5.371,0.104
0.333,-0.636,-4.000,-49.744,24.841,-12.573,0.104
0.426,-0.394,4.000,36.194,-14.160,-13.245,0.104
-1.521,0.558,-4.000,-15.076,15.747,-5.859,0.104
-0.474,-1.442,1.762,0.183,-28.259,-5.615,0.104
-1.014,2.325,-2.925,30.518,-63.354,-1.892,0.104
1.498,-0.378,-1.726,-31.372,-21.973,-14.709,0.104
-0.206,1.123,-2.037,-15.625,-23.315,-18.372,0.104
1.306,-0.107,-0.279,-15.381,10.376,-9.338,0.104
-0.430,-0.060,2.475,-8.240,10.620,-7.446,0.104
1.404,-0.358,-3.405,29.907,19.775,-2.747,0.104
-0.650,0.742,1.567,10.864,26.794,1.770,0.348
-0.636,-0.106,0.480,18.433,11.353,13.611,0.348
-0.602,1.524,-0.798,62.256,-7.629,20.325,0.348
-0.466,1.417,-0.099,27.222,-22.949,13.367,0.348
0.163,1.364,-4.000,38.330,-41.626,10.620,0.348
1.968,0.023,0.500,-15.930,-23.560,-10.559,0.348
-0.174,2.034,-3.750,-20.874,22.583,-8.911,0.348
2.849,-1.578,0.797,4.761,39.307,-5.798,0.348
-3.451,0.199,-0.836,-73.975,66.162,19.836,0.348
-0.032,-0.482,0.677,36.743,3.174,15.869,0.348
-0.354,0.094,-2.148,-1.099,10.132,11.536,0.348
-1.154,-0.011,0.515,0.977,-1.953,13.550,0.348
1.133,0.166,-0.952,35.095,-16.968,8.118,0.348
0.652,0.836,-1.518,-20.813,30.457,14.160,0.348
0.475,3.622,-3.930,34.485,5.127,16.663,0.348
-0.698,-1.393,2.762,-45.654,17.639,-12.756,0.348
-2.803,0.834,-4.000,8.545,-7.690,10.864,0.348
4.000,1.532,1.095,-7.507,8.972,37.231,0.348
-1.262,-2.163,2.449,-16.907,16.418,27.649,0.348
-0.062,1.311,-2.958,2.686,11.230,35.950,0.348
0.319,-1.178,1.434,-7.935,-4.150,26.611,0.348
-0.171,0.278,-0.393,5.554,-6.714,27.527,0.348
1.019,0.041,-0.626,10.010,-5.066,35.156,0.348
0.379,-0.937,0.407,-16.541,27.405,20.508,0.348
-2.569,0.013,-2.907,21.423,-25.574,32.410,0.348
2.280,3.977,-2.562,93.933,-138.733,33.081,0.348
2.539,1.692,-1.358,-17.456,-32.654,23.987,0.348
2.368,0.895,-3.168,-68.481,-0.061,21.484,0.348
0.016,0.102,2.744,-87.708,40.283,-18.677,0.348
-0.486,-1.550,-3.924,-29.114,34.180,3.235,0.348
-0.798,-0.767,2.835,-44.312,54.382,13.855,0.348
-1.163,-0.591,-3.943,34.668,6.592,24.475,0.348
0.671,0.061,1.730,18.555,2.380,25.635,0.348
